year,season,breeding_code,observations,percentage_of_season,rank
2018,Spring,ON,24,42.1,1
2018,Spring,C,10,17.5,2
2018,Spring,S7,7,12.3,3
2018,Summer,S7,18,52.9,1
2018,Summer,FL,6,17.6,2
2018,Summer,C,4,11.8,3
2018,Fall,T,1,50.0,1
2018,Fall,NY,1,50.0,2
2018,Winter,NB,1,50.0,1
2018,Winter,CN,1,50.0,2
2019,Spring,ON,20,28.6,1
2019,Spring,NB,15,21.4,2
2019,Spring,S7,15,21.4,3
2019,Summer,S7,14,41.2,1
2019,Summer,CN,8,23.5,2
2019,Summer,ON,4,11.8,3
2019,Winter,S7,8,50.0,1
2019,Winter,C,7,43.8,2
2019,Winter,N,1,6.3,3
