year,season,breeding_code,observations,percentage_of_season,rank
2023,Spring,S7,52,37.7,1
2023,Spring,C,24,17.4,2
2023,Spring,ON,19,13.8,3
2023,Summer,S7,33,55.0,1
2023,Summer,FL,6,10.0,2
2023,Summer,C,5,8.3,3
2023,Fall,FL,2,66.7,1
2023,Fall,C,1,33.3,2
2023,Winter,C,8,40.0,1
2023,Winter,ON,4,20.0,2
2023,Winter,S7,3,15.0,3
2024,Spring,S7,32,41.0,1
2024,Spring,FL,11,14.1,2
2024,Spring,CN,10,12.8,3
2024,Summer,FL,16,30.8,1
2024,Summer,S7,13,25.0,2
2024,Summer,ON,7,13.5,3
2024,Fall,FL,2,50.0,1
2024,Fall,NY,1,25.0,2
2024,Fall,ON,1,25.0,3
2024,Winter,S7,8,50.0,1
2024,Winter,C,7,43.8,2
2024,Winter,N,1,6.3,3
